session_id,source,duration_ms,key_bytes,entropy,qber,secure,variant,backend_mode
demo1_session,qkd,0.6454280000980361,32,0.9994261549267001,0.0136986301369863,True,,
demo1_session,kyber,16.662903999986156,32,,,,Kyber1024,
demo1_session,qrng,1320.0546299999587,32,1.0,,,,simulator
demo3_eve,qkd,0.3840019999188371,32,0.9997921257182902,0.25617283950617287,False,,
demo3_eve,kyber,16.511909999735508,32,,,,Kyber1024,
demo3_eve,qrng,991.5994520001732,32,1.0,,,,simulator
demo4_aes,qkd,0.31015300010039937,32,0.9999828352080604,0.01056910569105691,True,,
demo4_aes,kyber,16.26885699988634,32,,,,Kyber1024,
demo4_aes,qrng,995.653867999863,32,1.0,,,,simulator
demo4_chacha,qkd,0.3282409998064395,32,0.9999563818759851,0.012441679626749611,True,,
demo4_chacha,kyber,16.997833999994327,32,,,,Kyber1024,
demo4_chacha,qrng,989.3013920000158,32,1.0,,,,simulator
demo5_kyber1024,qkd,0.40912500026024645,32,0.9994381420768768,0.008527131782945736,True,,
demo5_kyber1024,kyber,17.40310400009548,32,,,,Kyber1024,
demo5_kyber1024,qrng,1052.0336129998213,32,1.0,,,,simulator
demo5_kyber768,qkd,0.35585900013757055,32,0.9994893869480135,0.009389671361502348,True,,
demo5_kyber768,kyber,11.662892000003922,32,,,,Kyber768,
demo5_kyber768,qrng,975.3539700000147,32,1.0,,,,simulator
demo1_session,qkd,0.47672200025772327,32,0.9994261549267001,0.0136986301369863,True,,
demo1_session,kyber,16.125098999964393,32,,,,Kyber1024,
demo1_session,qrng,1312.665423999988,32,1.0,,,,simulator
demo3_eve,qkd,0.4295589997127536,32,0.9997921257182902,0.25617283950617287,False,,
demo3_eve,kyber,16.436844000054407,32,,,,Kyber1024,
demo3_eve,qrng,971.6601909999554,32,1.0,,,,simulator
demo4_aes,qkd,1.7586899998605077,32,0.9999828352080604,0.01056910569105691,True,,
demo4_aes,kyber,32.738619999690854,32,,,,Kyber1024,
demo4_aes,qrng,982.3990120003145,32,1.0,,,,simulator
demo4_chacha,qkd,0.39235500025824877,32,0.9999563818759851,0.012441679626749611,True,,
demo4_chacha,kyber,16.723927999919397,32,,,,Kyber1024,
demo4_chacha,qrng,986.3775320000059,32,1.0,,,,simulator
demo5_kyber1024,qkd,0.2659320002749155,32,0.9994381420768768,0.008527131782945736,True,,
demo5_kyber1024,kyber,16.244726999957493,32,,,,Kyber1024,
demo5_kyber1024,qrng,1024.7532349999346,32,1.0,,,,simulator
demo5_kyber768,qkd,0.48869200008994085,32,0.9994893869480135,0.009389671361502348,True,,
demo5_kyber768,kyber,12.120911999772943,32,,,,Kyber768,
demo5_kyber768,qrng,995.2304350003942,32,1.0,,,,simulator
