session_id,qber,qber_threshold,qber_triggered,entropy,entropy_threshold,entropy_triggered,timing_cv,timing_cv_threshold,timing_triggered,threat_level,threat_label,action,monitor_duration_ms,endpoint_id,timing_samples,triggered_count
demo1_session,0.0136986301369863,0.11,False,1.0,0.99,False,1.122161590837948,0.1,True,1,WARNING,ALERT_SIDE_CHANNEL,0.174701000105415,bob_node,6,1
demo2_monitor,0.010101010101010102,0.11,False,1.0,0.99,False,1.3801750873578709,0.1,True,1,WARNING,ALERT_SIDE_CHANNEL,0.18955999985337257,bob_node,3,1
demo3_eve,0.25617283950617287,0.11,True,1.0,0.99,False,1.0174149350158246,0.1,True,3,CRITICAL,ABORT_SESSION_AND_BLACKLIST:eve_path,0.15473999974346953,eve_path,6,2
demo4_aes,0.01056910569105691,0.11,False,1.0,0.99,False,1.0679648854182313,0.1,True,1,WARNING,ALERT_SIDE_CHANNEL,0.17823700000008103,bob_node,6,1
demo4_chacha,0.012441679626749611,0.11,False,1.0,0.99,False,1.0172818297486594,0.1,True,1,WARNING,ALERT_SIDE_CHANNEL,0.300081999739632,bob_node,6,1
demo5_kyber1024,0.008527131782945736,0.11,False,1.0,0.99,False,1.0798777006959162,0.1,True,1,WARNING,ALERT_SIDE_CHANNEL,0.18132399964088108,bob_node,6,1
demo5_kyber768,0.009389671361502348,0.11,False,1.0,0.99,False,1.0725779032269502,0.1,True,1,WARNING,ALERT_SIDE_CHANNEL,0.5277440000099887,bob_node,6,1
demo1_session,0.0136986301369863,0.11,False,1.0,0.99,False,0.08442910936824877,0.1,False,0,CLEAR,NO_ACTION,0.5392799998844566,bob_node,5,0
demo2_monitor,0.010101010101010102,0.11,False,1.0,0.99,False,0.005616217066813525,0.1,False,0,CLEAR,NO_ACTION,0.16863700011526817,bob_node,5,0
demo3_eve,0.25617283950617287,0.11,True,1.0,0.99,False,0.00677267459269417,0.1,False,3,CRITICAL,ABORT_SESSION_AND_BLACKLIST:eve_path,0.21034599967606482,eve_path,5,1
demo4_aes,0.01056910569105691,0.11,False,1.0,0.99,False,0.005827810105135072,0.1,False,0,CLEAR,NO_ACTION,0.3186490002917708,bob_node,5,0
demo4_chacha,0.012441679626749611,0.11,False,1.0,0.99,False,0.021229615930862016,0.1,False,0,CLEAR,NO_ACTION,0.2133459997821774,bob_node,5,0
demo5_kyber1024,0.008527131782945736,0.11,False,1.0,0.99,False,0.01837884304159124,0.1,False,0,CLEAR,NO_ACTION,0.35216200012655463,bob_node,5,0
demo5_kyber768,0.009389671361502348,0.11,False,1.0,0.99,False,0.14769389569833694,0.1,True,1,WARNING,ALERT_SIDE_CHANNEL,0.2652430002854089,bob_node,5,1
