Distance_km,Eavesdrop,Bits_Sent,Bits_Received,Photon_Survival_Prob,Sifted_Key_Length,QBER,Key_Rate,Secure
10,False,10000,6313,0.6309573444801932,3217,0.010879701585327946,0.3217,True
20,False,10000,3986,0.3981071705534972,2012,0.01143141153081511,0.2012,True
30,False,10000,2448,0.251188643150958,1242,0.01288244766505636,0.1242,True
40,False,10000,1654,0.15848931924611134,837,0.009557945041816009,0.0837,True
50,False,10000,977,0.1,484,0.014462809917355372,0.0484,True
60,False,10000,639,0.06309573444801933,322,0.018633540372670808,0.0322,True
70,False,10000,366,0.039810717055349734,180,0.005555555555555556,0.018,True
80,False,10000,235,0.025118864315095794,130,0.015384615384615385,0.013,True
90,False,10000,181,0.015848931924611134,93,0.0,0.0093,True
100,False,10000,94,0.01,48,0.020833333333333332,0.0048,True
10,True,10000,6279,0.6309573444801932,3076,0.26527958387516254,0.3076,False
20,True,10000,3937,0.3981071705534972,1959,0.25778458397141396,0.1959,False
30,True,10000,2486,0.251188643150958,1236,0.2613268608414239,0.1236,False
40,True,10000,1610,0.15848931924611134,803,0.2764632627646326,0.0803,False
50,True,10000,962,0.1,468,0.28205128205128205,0.0468,False
60,True,10000,618,0.06309573444801933,303,0.21782178217821782,0.0303,False
70,True,10000,389,0.039810717055349734,184,0.2717391304347826,0.0184,False
80,True,10000,282,0.025118864315095794,128,0.3046875,0.0128,False
90,True,10000,149,0.015848931924611134,82,0.18292682926829268,0.0082,False
100,True,10000,113,0.01,44,0.25,0.0044,False
